material_name,source_sheet,vendor,material_family,process_family,compatible_printers,supports_light_transparency,opacity,color,supports_esd,supports_flame_retardant,flame_standard,RF_Transparency,supports_biocompatibility,biocompatibility_standards,Sterilization,Heat_Defletion_Temperture_hdt_c,CTE_Linear_um_mC,Common Applications,general_notes,tensile_strength_mpa,elastic_modulus_gpa,elongation_at_break_pct_min,impact_strength_j_per_m,shore_hardness,material_cost_ILS_kg
Black V5,FL_Resin,Formlabs,resin,SLA/DLP,Form 4;Form 4B;Form 4L;Form 4BL,no,No,Black,no,no,no,,no,,,69,,"Visual protoype, Housing, Mounts","Black Resin V5 is an exceptionally rich, deep black General Purpose Resin, offering an optimal balance of fast print speed, high accuracy, presentation-ready appearance, strong mechanical properties, and an easy, reliable workflow",61,2.7,10,29,,383
Grey V5,FL_Resin,Formlabs,resin,SLA/DLP,Form 4;Form 4B;Form 4L;Form 4BL,no,No,Grey,no,no,no,,no,,,71,,"Visual protoype, Housing, Mounts","Grey Resin V5 is an exceptionally versatile General Purpose Resin, offering an optimal balance of fast print speed, high accuracy, presentation-ready appearance, strong mechanical properties, and an easy, reliable workflow. Create parts that are stiff and strong with a surface finish that rivals injection molding.  rich, matte color that captures fine features accurately.",62,2.6,13,32,,383
White V5,FL_Resin,Formlabs,resin,SLA/DLP,Form 4;Form 4B;Form 4L;Form 4BL,no,No,White,no,no,no,,no,,,71,,"Visual protoype, Housing, Mounts, Transparent enclosures, optical components","White Resin V5 is an exceptionally bright white General Purpose Resin, offering an optimal balance of fast print speed, high accuracy, presentation-ready appearance, strong mechanical properties, and an easy, reliable workflow. Create parts that are stiff and strong with a surface finish that rivals injection molding. matte, bright white that captures fine features accurately.",62,2.675,13,32,,383
Clear V5,FL_Resin,Formlabs,resin,SLA/DLP,Form 4;Form 4B;Form 4L;Form 4BL,yes,Yes,Clear,no,no,no,,no,,,69,,"Visual protoype, Housing, Mounts, Microfluidic, See Through windows","Clear Resin V5 is an exceptionally clear and General Purpose Resin, offering an optimal balance of fast print speed, high dimensional accuracy, and presentation-ready appearance.",60,2.75,8,29,,383
Fast Model,FL_Resin,Formlabs,resin,SLA/DLP,Form 4;Form 4B;Form 4L;Form 4BL,no,No,Grey,no,no,no,,no,,,76,,Large concept models,Fast resin enable the shortes print time up to 110 mm/h,62,2.7,11,37,,383
Precision Model,FL_Resin,Formlabs,resin,SLA/DLP,Form 4;Form 4B;Form 4L;Form 4BL,no,No,Off white,no,no,no,,no,,,53.5,81.1,High detail geometry,"Precision Model Resin is a high-accuracy material. Create beautiful models with crisp margin lines thanks to high opacity, beige color, and a smooth, matte finish to capture fine details.",50,2.2,8.6,32,,630
Tough 2000 V2,FL_Resin,Formlabs,resin,SLA/DLP,Form 4;Form 4B;Form 4L;Form 4BL,no,No,Grey,no,yes,no,,no,,,70,,"Gears, Housings",Tough 2000 V2 Simulate molded ABS,43,1.8,79,25,76D,685
Tough 1500 V2,FL_Resin,Formlabs,resin,SLA/DLP,Form 4;Form 4B;Form 4L;Form 4BL,no,No,Black,no,yes,no,,yes,EN ISO 10993-5:2009;ISO 10993-10:2010(R)2014;ISO 10993-10:2010/(R)2014,,66,,"Snap Joints, Impact absorbers",Tough 1500 V2 Simulate Polypropylene (PP),34,1.46,155,42,76D,685
Tough 1000,FL_Resin,Formlabs,resin,SLA/DLP,Form 4;Form 4B;Form 4L;Form 4BL,no,No,Black,no,yes,no,,no,,,55.3,168.2,"Ball joints, Snap joints",Tough 1000 Simulate High Density Polyethylene (HDPE),26.3,0.93,180,72,68D,685
Rigid 10K V1.1,FL_Resin,Formlabs,resin,SLA/DLP,Form 4;Form 4B;Form 4L;Form 4BL,no,No,White,no,yes,no,Yes,no,,,163,,"Brackets, Nozzles, High temp applications, Molds","Rigid 10K Excellent thermal properties, Not good for Impact Shock Absorption",65,10,1,16,,1340
Rigid 10K V1.1 + Heat Tretment,FL_Resin,Formlabs,resin,SLA/DLP,Form 4;Form 4B;Form 4L;Form 4BL,no,No,White,no,yes,no,Yes,no,,,218,,"Brackets, Nozzles, High temp applications, Molds","Rigid 10K Excellent thermal properties, Not good for Impact Shock Absorption",53,10,1,18,,1340
Rigid 4000 V1.1,FL_Resin,Formlabs,resin,SLA/DLP,Form 4;Form 4B;Form 4L;Form 4BL,no,No,White,no,no,no,Yes,no,,,77,,,Consider Rigid 10K for more rigidity and superior thermal resistance,69,4.1,5.3,23,,1050
High Temp V2,FL_Resin,Formlabs,resin,SLA/DLP,Form 4;Form 4B;Form 4L;Form 4BL,yes,Yes,Clear-Yellow,no,no,no,,no,,,120,,,High temp resin Excellent thermal properties,51,2.8,3.3,18,,938
High Temp V2 + Heat tretment,FL_Resin,Formlabs,resin,SLA/DLP,Form 4;Form 4B;Form 4L;Form 4BL,yes,Yes,Clear-Yellow,no,no,no,,no,,,238,,,High temp resin Excellent thermal properties,49,2.8,2.3,17,,938
Flame Retardant,FL_Resin,Formlabs,resin,SLA/DLP,Form 4;Form 4B;Form 4L;Form 4BL,no,No,Light Grey,no,yes,UL94 V0,,no,,,111,68.1,,Flame retardant resin meets UL94-V0,41,3.1,7.1,22,80D,1135
ESD Resin,FL_Resin,Formlabs,resin,SLA/DLP,Form 4;Form 4B;Form 4L;Form 4BL,no,No,Black,yes,no,no,,no,,,62.2,,Housings for sensitive electronics,ESD Resin that protect critical electronics components from static discharge,44,1.9,12,26,90D,1050
Silicone 40A,FL_Resin,Formlabs,resin,SLA/DLP,Form 4;Form 4B;Form 4L;Form 4BL,no,No,Black,no,no,no,,yes,EN ISO 10993-5:2009;ISO 10993-10:2010(R)2014;ISO 10993-10:2010/(R)2014,,,,,"Challenging to print, not suitable for thin-walled parts.",5,,230,12,40A,1550
Elastic 50A V2,FL_Resin,Formlabs,resin,SLA/DLP,Form 4;Form 4B;Form 4L;Form 4BL,yes,Yes,Clear-Yellow,no,no,no,,no,,,,,"Wearables and consumer goods prototyping, Medical models and devices","Elastic Resin for soft parts that will bend, stretch, compress, and hold up to repeated cycles",3.4,,160,14,55A,1000
Flexible 80A,FL_Resin,Formlabs,resin,SLA/DLP,Form 4;Form 4B;Form 4L;Form 4BL,yes,Yes,Clear,no,no,no,,no,,,,,,Hard Elastomer,8.9,,120,28,80A,930
Clear Cast V1,FL_Resin,Formlabs,resin,SLA/DLP,Form 4;Form 4B;Form 4L;Form 4BL,yes,Yes,Clear,no,no,no,,no,,,73,,"Large Investment casting, 2mm thickness minimum",Clear Cast resin intended for Investement casting applications,65,2.8,6,25,,720
BioMed Clear,FL_Resin,Formlabs,resin,SLA/DLP,Form 4B;Form 4BL,yes,Yes,Clear,no,no,no,,yes,EN ISO 10993-5:2009;EN ISO 13485:2016;EN ISO 14971:2012;ISO 10993-10:2010(R)2014;ISO 10993-10:2010/(R)2014;ISO 10993-17/18:2002;ISO 10993-3:2014;ISO 18562-2:2017;ISO 18562-3:2017;ISO 18562-4:2017;USP Class VI Certified,Autoclave (Steam);Gamma Sterilization;E-beam Sterilization;Ethylene Oxide (EtO),67,82,"Medical devices and device components, Parts containing breathing gas pathways, Respirator and ventilator components, Drug delivery devices, Surgical planning and implant sizing tools, ",BioMed Clear Resin is a rigid material for biocompatible applications requiring long-term skin or mucosal membrane contact,52,2.08,12,35,78D,1550
BioMed White,FL_Resin,Formlabs,resin,SLA/DLP,Form 4B;Form 4BL,no,No,White,no,no,no,,yes,"EN ISO 10993-5:2009;EN ISO 13485:2016;EN ISO 14971:2012;ISO 10993-10:2010(R)2014;ISO 10993-10:2010/(R)2014;ISO 10993-11: 2017;ISO 10993-11: 2017/USP, General Chapter <151>, Pyrogen Test",Autoclave (Steam);Gamma Sterilization;E-beam Sterilization;Ethylene Oxide (EtO),67,90.1,"End-use medical devices, Patient-specific implant sizing models and molds, Cutting and drilling guides, ",BioMed White Resin is an opaque white material for biocompatible applications requiring long-term skin contact or short-term mucosal contact,46,2,10,15,80D,1260
BioMed Black,FL_Resin,Formlabs,resin,SLA/DLP,Form 4B;Form 4BL,no,No,Black,no,no,no,,yes,EN ISO 10993-5:2009;ISO 10993-10:2010(R)2014;ISO 10993-10:2010/(R)2014,Autoclave (Steam);Gamma Sterilization;E-beam Sterilization;Ethylene Oxide (EtO),67.9,106.9,"Medical devices and device components, End-use parts requiring patient contact","BioMed Black Resin is a matte, opaque material for biocompatible applications requiring long-term skin contact or short-term mucosal membrane contact",36,1.5,14,25,77D,1134
BioMed Amber,FL_Resin,Formlabs,resin,SLA/DLP,Form 4B;Form 4BL,yes,Yes,Clear-Yellow,no,no,no,,yes,"EN ISO 10993-5:2009;EN ISO 13485:2016;EN ISO 14971:2012;ISO 10993-10:2010(R)2014;ISO 10993-10:2010/(R)2014;ISO 10993-11: 2017;ISO 10993-11: 2017/USP, General Chapter <151>, Pyrogen Test",Autoclave (Steam);Gamma Sterilization;E-beam Sterilization;Ethylene Oxide (EtO),78,66,Medical devices and device components,BioMed Amber Resin is a rigid material for biocompatible applications requiring shortterm contact,73,2.9,12,28,67D,1135
BioMed Durable,FL_Resin,Formlabs,resin,SLA/DLP,Form 4B;Form 4BL,yes,No,Clear,no,no,no,,yes,"EN ISO 10993-5:2009;EN ISO 13485:2016;EN ISO 14971:2012;ISO 10993-10:2010(R)2014;ISO 10993-10:2010/(R)2014;ISO 10993-11: 2017;ISO 10993-11: 2017/USP, General Chapter <151>, Pyrogen Test;USP Class VI Certified",Autoclave (Steam);,46,102.9,"End-Use Devices and Components Requiring Biocompatibility and Impact Resistance, Single-Use Instruments","BioMed Durable Resin is a clear material for biocompatible applications requiring impact, shatter, and abrasion resistance",29,0.994,33,98,75D,1890
BioMed Elastic,FL_Resin,Formlabs,resin,SLA/DLP,Form 4B;Form 4BL,yes,Yes,Clear,no,no,no,,yes,EN ISO 10993-5:2009;EN ISO 13485:2016;EN ISO 14971:2012;ISO 10993-10:2010(R)2014;USP Class VI Certified,,,,Soft Tissue Models to Assist in Surgeries,"BioMed Elastic 50A Resin is a soft, elastic, medical grade material for applications requiring comfort, biocompatibility, and transparency",2.3,,150,12,,1550
BioMed Flex 80A,FL_Resin,Formlabs,resin,SLA/DLP,Form 4B;Form 4BL,yes,Yes,Clear,no,no,no,,yes,EN ISO 10993-5:2009;EN ISO 13485:2016;EN ISO 14971:2012;USP Class VI Certified,,,,Firm Tissue Models to Assist in Surgeries,"BioMed Flex 80A Resin is a firm, flexible, medical-grade material for applications requiring durability, biocompatibility, and transparency",7.2,,135,24,80A,1134
Alumina 4N,FL_Resin,Formlabs,resin,SLA/DLP,Form 4;Form 4B,no,No,White,no,no,no,,no,,,1500,,,,,380,,,,
Nylon 12,FL_Powder,Formlabs,powder,SLS/MJF,Fuse1;Fuse1+,no,No,Grey,no,yes,UL 94 HB,,yes,EN ISO 10993-5:2009;ISO 10993-10:2010(R)2014;ISO 10993-10:2010/(R)2014;ISO 10993-11: 2017,,171,,,"Nylon 12 is the most common and availble on the market | With high tensile strength, ductility, and environmental stability, Nylon 12 Powder is suitable for creating complex assemblies and durable parts",50,1.85,6,32,,430
Nylon 12 Tough,FL_Powder,Formlabs,powder,SLS/MJF,Fuse1+,no,No,Grey,no,yes,UL 94 HB,,yes,"EN ISO 10993-5:2009;ISO 10993-10:2010(R)2014;ISO 10993-10:2010/(R)2014;ISO 10993-11: 2017/USP, General Chapter <151>, Pyrogen Test",,161,,,"Nylon 12 Tough Powder offers the best-in-class refresh rate among Nylon powders, high ductility, and great dimensional accuracy.  Durable parts for prototyping and small batch production that have reduced warpage without sacrificing strength.",42,1.45,15,60,,430
